Name,Category,SubCategory,Address,Owner,Ownership,Articles
Aranypart Camping,Lodging,Camping,"Siófok, Szent László u. 185, 8600",Kis Jakab,direct,
"Balatontourist Zala Kemping és Üdülőfalu",Lodging,Camping,"Keszthely, Entz Géza stny. 1, 8360",Meszáros Lőrinc,direct,"https://24.hu/belfold/2017/04/12/meszaros-lorinc-cege-felvasarolta-a-balatoni-kemping-nagy-reszet/"
